TIME,TEMPERATURE,RAINFALL,WINDSPEED,HUMIDITY,SNOWFALL
2013010100,-8.8,,0.1,90,8.8
2013010101,-8.5,,0.9,90,8.8
2013010102,-8.5,,1,89,8.8
2013010103,-9,,0.7,91,8.8
2013010104,-9.1,,0.6,92,8.8
2013010105,-9.4,,0.5,92,8.8
2013010106,-9,,1.4,93,8.8
2013010107,-8.3,,0.2,94,9.6
2013010108,-7.3,,1.7,96,10.5
2013010109,-6.4,2.2,0.9,96,12.8
2013010110,-5.3,,0.4,98,15.3
2013010111,-3.4,,0.9,93,15.5
2013010112,-0.5,1.9,0.7,88,15
2013010113,3.1,,2,73,14
2013010114,2.5,,2.4,69,12.5
2013010115,0.8,0.2,3.8,90,12.5
2013010116,1.1,,2.4,84,13.8
2013010117,0.5,,2.2,83,14
2013010118,-1.4,0.5,0.5,90,14
2013010119,-1.7,,1.2,94,14
2013010120,-2,,1,95,14
2013010121,-2.4,,1.1,98,14
2013010122,-3.3,,0.2,97,14
2013010123,-3.2,,1.4,98,14.1
2013010200,-1.3,0.8,2.5,100,15.7
2013010201,-0.8,,0.9,100,18.1
2013010202,-1.3,,3.4,89,18.3
2013010203,-3.5,1.8,3.8,80,18.3
2013010204,-5.3,,2.8,79,18.4
2013010205,-6.5,,1.8,83,18.4
2013010206,-7.4,0,1.8,78,18.4
2013010207,-8.7,,2.1,71,18.4
2013010208,-9.6,,1.4,73,18.3
2013010209,-8.7,,2.3,57,18.2
2013010210,-8,,2,54,18
2013010211,-6.9,,1.8,52,17.5
2013010212,-6.1,,2.1,52,17.2
2013010213,-5.6,,2.2,51,16.9
2013010214,-5.9,,2.9,53,16.5
2013010215,-6.1,,3,55,16.2
2013010216,-6.9,,3.2,55,16.2
2013010217,-7.9,,3.1,56,16.2
2013010218,-9.3,,2,59,16.2
2013010219,-10.2,,1.5,61,16.2
2013010220,-10.8,,1.3,65,16.2
2013010221,-11.2,,1.8,69,16.2
2013010222,-11.9,,0.3,73,16.2
2013010223,-12.2,,1.2,80,16.2
2013010300,-12.9,,1.6,81,16.2
2013010301,-12.8,,0.9,80,16.2
2013010302,-12.8,,1.6,81,16.2
2013010303,-13.1,,2,85,16.2
2013010304,-13.7,,1.8,80,16.2
2013010305,-15,,1.5,77,16.2
2013010306,-15.8,,0.8,77,16.2
2013010307,-16.3,,0.8,79,16.2
2013010308,-16.5,,1,77,16.2
2013010309,-14.5,,0.5,74,16.2
2013010310,-12,,0.5,63,16.2
2013010311,-9.8,,1.2,46,16
2013010312,-8.9,,2.6,41,15.8
2013010313,-7.8,,2.6,42,15.6
2013010314,-6.4,,1.5,45,15.4
2013010315,-5.8,,2,43,15.1
2013010316,-5.7,,2.5,48,14.8
2013010317,-7.4,,2.6,53,14.6
2013010318,-8.7,,1.6,61,14.6
2013010319,-9.1,,1.2,65,14.6
2013010320,-10.2,,0.7,72,14.6
2013010321,-10.8,,0.2,75,14.6
2013010322,-11.6,,1.1,78,14.6
2013010323,-11.7,,1.2,78,14.6
2013010400,-12.3,,1.1,81,14.6
2013010401,-12.9,,0.4,78,14.6
2013010402,-13.3,,0.5,79,14.6
2013010403,-13.9,,1.6,84,14.6
2013010404,-14.7,,1.1,86,14.6
2013010405,-15.1,,1,88,14.6
2013010406,-15.3,,0.4,85,14.6
2013010407,-16.1,,1,88,14.6
2013010408,-16.5,,0.9,87,14.6
2013010409,-14.5,,0.5,85,14.6
2013010410,-12.1,,0.6,73,14.5
2013010411,-8.7,,1.1,53,14.4
2013010412,-7.5,,1.5,46,14.3
2013010413,-5.8,,0.9,40,14.1
2013010414,-4.8,,2.3,42,13.9
2013010415,-4.5,,1.7,39,13.7
2013010416,-4.4,,1.1,40,13.5
2013010417,-5.5,,1.2,44,13.4
2013010418,-6.6,,1.2,48,13.4
2013010419,-7.6,,1.1,57,13.4
2013010420,-8.3,,0.9,58,13.4
2013010421,-9.5,,0.8,64,13.4
