MONTH,HOUR,WEEKDAY,SEASON,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,SNOWFALL,RENTCOUNT
1,0,1,3,-8.8,0.0,0.1,90.0,8.8,0.0
1,1,1,3,-8.5,0.0,0.9,90.0,8.8,0.0
1,2,1,3,-8.5,0.0,1.0,89.0,8.8,0.0
1,3,1,3,-9.0,0.0,0.7,91.0,8.8,0.0
1,4,1,3,-9.1,0.0,0.6,92.0,8.8,0.0
1,5,1,3,-9.4,0.0,0.5,92.0,8.8,0.0
1,6,1,3,-9.0,0.0,1.4,93.0,8.8,0.0
1,7,1,3,-8.3,0.0,0.2,94.0,9.6,0.0
1,8,1,3,-7.3,0.0,1.7,96.0,10.5,0.0
1,9,1,3,-6.4,2.2,0.9,96.0,12.8,0.0
1,10,1,3,-5.3,0.0,0.4,98.0,15.3,0.0
1,11,1,3,-3.4,0.0,0.9,93.0,15.5,0.0
1,12,1,3,-0.5,1.9,0.7,88.0,15.0,0.0
1,13,1,3,3.1,0.0,2.0,73.0,14.0,0.0
1,14,1,3,2.5,0.0,2.4,69.0,12.5,0.0
1,15,1,3,0.8,0.2,3.8,90.0,12.5,0.0
1,16,1,3,1.1,0.0,2.4,84.0,13.8,0.0
1,17,1,3,0.5,0.0,2.2,83.0,14.0,0.0
1,18,1,3,-1.4,0.5,0.5,90.0,14.0,0.0
1,19,1,3,-1.7,0.0,1.2,94.0,14.0,0.0
1,20,1,3,-2.0,0.0,1.0,95.0,14.0,0.0
1,21,1,3,-2.4,0.0,1.1,98.0,14.0,0.0
1,22,1,3,-3.3,0.0,0.2,97.0,14.0,0.0
1,23,1,3,-3.2,0.0,1.4,98.0,14.1,0.0
1,0,2,3,-1.3,0.8,2.5,100.0,15.7,0.0
1,1,2,3,-0.8,0.0,0.9,100.0,18.1,0.0
1,2,2,3,-1.3,0.0,3.4,89.0,18.3,0.0
1,3,2,3,-3.5,1.8,3.8,80.0,18.3,0.0
1,4,2,3,-5.3,0.0,2.8,79.0,18.4,0.0
